rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-676-dup-0, gregory, mason-foweraker, 49, bemm plqce, sherwood, burpengary, 6108, vuc, 19110507, 33, , 8699345, 2
rec-519-org,   bailee, chandler, 230, david street, , maiden gully, 6064, nsw, 19340106, 28, 08 81328993, 5680164, 6
rec-573-dup-0, jaspef, reid, 10, hannahp place, , cedar creek, 4217, nsw, 19591024, 38, 08 12943581, 9137841, 2
rec-587-dup-1, claire, dixont, 30, chowne street, cooramga, peake, 2099, qld, 19920104, 25, 03 02975070, 2538749, 7
rec-289-org,   harrison, compagne, 330, de little circuit, rockley, shelley, 5232, qld, 19650706, 22, 08 30129147, 4701563, 3
rec-111-org,   tai, campbell, 336, bamir square, , carine, 4305, , 19411115, , 04 24227049, 4101774, 3
rec-745-org,   erin, cropper, 34, karney street, kondalilla, coledale, 3188, vic, 19560212, 26, 07 21846519, 4402327, 7
rec-151-org,   owen, morrison, 160, erldunda circuit, , blacktown, 2137, wa, 19570103, , 07 13353275, 5588889, 6
rec-249-org,   patrick, glass, 20, amaroo street, ingevale, gin gin, 4210, nsw, 19101006, 22, 08 82702108, 5124900, 3
rec-524-org,   hannah, vincent, 77, macneil place, , unanderra, 2112, qld, 19911103, 31, 02 36891383, 8627370, 3
rec-82-org,   matteus, green, 23, mac kinley circuit, brentwood village, batlow, 4285, nsw, 19800523, , 08 84592631, 4630587, 5
rec-18-org,   callum, roche, 21, coutts place, , hillville, 3198, nsw, 19420923, 30, 02 71302027, 4536975, 9
rec-271-org,   devan, lowe, , sambell place, , matraville, 2064, wa, 19721114, , 03 27313771, 5630568, 0
rec-361-dup-0, frolow, harrison, 12, , ra 23012, ettalong, 6152, nsw, 19700927, 43, 03 76573039, 7816553, 3
rec-394-org,   , stanfield, 16, bandt place, , julatten, 2760, vic, 19160316, , 07 46223723, 2200314, 7
rec-475-org,   blake, bruhn, 7, shumack street, , burpengary, 7249, , 19920727, , 04 45413621, 2771153, 8
rec-499-org,   jemma, griffen, 47, , berkeley vlge, werrington, 2011, wa, 19031010, 24, 07 34607944, 5140824, 3
rec-408-org,   kane, jolly, 25, , , lilydale, 4051, vic, , 29, 04 64416515, 1248030, 1
rec-415-org,   grayson, coleman, , alpen street, ferndale, maryborough, 3058, nsw, , 25, 02 05422562, 5436814, 2
rec-644-dup-1, amber, berrykan, 4, eyre street, , seymour, 2040, qld, 19090705, 28, 07 30011565, 7995794, 4
rec-393-org,   joshua, cannell, 7, blanc court, donnelly rvr villg, boat harbour, 2159, nsw, 19480902, , 03 16105294, 5894231, 7
rec-156-org,   amber, george, 47, rich street, bonny doon, cronulla, 0870, nsw, , 28, 08 44614166, 9308765, 8
rec-620-org,   david, leung, 104, kemsley place, pinecroft, oaklands park, 2025, nt, 19121014, , 03 99477019, 6478394, 7
rec-165-org,   bridget, berry, 16, landells place, sh b11, safety bay, 4017, nsw, 19170920, , 04 73481791, 8804401, 6
rec-623-org,   isabella, clarke, 5, magenta square, , mount hutton, 4870, qld, 19561009, 33, 03 80670200, 8132275, 2
rec-386-org,   lucas, newberry, 53, shandon place, , colac, 2474, nsw, 19200704, 27, 08 38474143, 4305343, 9
rec-735-org,   d'arcy, haren, 1, barr-smith avenue, , peakhurst, 5173, nsw, 19721118, 27, 03 85686473, 3053504, 6
rec-355-org,   hannah, blackwell, 7, boyland close, , frankston, 2153, , 19301212, 36, 04 65378250, 9641490, 4
rec-134-org,   jake, patience, 316, dickson shopping centre, hundred wokurna, long jetty, 3166, vic, 19161111, 25, 07 24748643, 2805185, 8
rec-731-dup-0, daniella, boase, 698, limestone avenue, , spotswood, 3844, qld, 19791901, , 08 00758679, 2628379, 7
rec-126-org,   alisa, wiseman, 165, hugh mckay crescent, , kirrawee, 3040, vic, 19110323, , 04 79310799, 3063338, 8
rec-757-org,   taylah, bishop, 390, yalga close, the pinnacle, toowoomba, 7019, nsw, , 20, 08 68175667, 7315692, 9
rec-792-org,   tara, pryer, 30, godfrey street, , lindfield, 2829, tas, 19260613, 25, 08 20863504, 7866605, 9
rec-454-org,   juliana, dixon, 60, lucy gullett circuit, villa 2, daw park, , qld, 19140902, 29, 04 40140391, 4363628, 3
rec-87-org,   lachlan, campbell, 11, heagney crescent, , paterson, 2168, sa, 19130621, 29, 03 47690263, 8601035, 6
rec-419-org,   bailey, white, 15, james street, , albury, 2454, qld, 19670624, 26, 02 81117193, 1644599, 0
rec-655-org,   zane, green, 41, , warehouse, bahrs scrub, 2209, , , 33, , 8672086, 6
rec-407-org,   noah, lukehurst, 10, beggs place, masonic memorial village, coodanup, 4109, qld, 19730402, 26, 07 57967936, 1876600, 9
rec-740-org,   ethan, white, 20, chave street, lakeview caravn park, creswick, 5118, nsw, 19350406, 33, 03 24939356, 9083750, 5
rec-208-org,   lachlan, rees, 7, beetaloo street, parkdale lodge, forbes, 3058, nsw, 19370826, , 02 89424797, 2619554, 4
rec-773-org,   willow, berry, 164, cossington smith crescent, , mount tyson, 3351, qld, 19280628, 8, 07 54377951, 4661111, 9
rec-40-org,   shona, sherriff, 61, whitton place, nevah farm, hurstbridge, 7000, tas, 19120225, 30, , 3815875, 0
rec-140-org,   madeline, snelling, 119, rosenthal street, , ourimbah, 3782, vic, 19201003, , 08 86562934, 3032151, 0
rec-272-org,   aidan, boeyen, 10, burkitt street, , kinross, 3076, , 19751015, 35, 02 84039109, 9466522, 4
rec-599-org,   kieren, hoggan, 6, mcintosh street, , ardeer, 2353, nsw, 19590815, 29, 02 54678954, 2544027, 7
rec-203-org,   benjamin, brovcenko, , yelland place, , dimbulah, 4350, qld, , 26, 04 47517732, 2890956, 5
rec-556-org,   christian, hutcheson, 8, marchant circuit, , alice springs, 2035, vic, 19900805, 37, 03 97551376, 7690623, 8
rec-570-org,   georgia, mccarthy, 2, tyrrell circuit, taree caravn park, royal park, 6058, nsw, 19821120, 30, , 8241282, 0
rec-479-org,   jarrod, longman, 207, doerner place, , stoneville, 2602, qld, , 27, 04 59371817, 3096299, 2
rec-758-org,   aneka, finlay, 18, william webb drive, kings apmts, terrigal, 3031, nsw, 19621223, 30, 04 47333179, 6836379, 3
rec-359-org,   harry, bordon, 298, maddison close, , rainbow beach, 6025, vic, 19750503, 30, 02 99823599, 3974850, 6
rec-457-org,   joshua, white, 1075, majura avenue, arcadia, hannans, 7290, vic, 19910716, 39, 04 75816571, 2275948, 2
rec-724-org,   timara, goldsworthy, 7, heagney crescent, air force estate, woolomin, 3941, sa, 19820526, 24, 08 31951807, 5885658, 2
rec-563-org,   ben, lowe, 23, cambridge street, , robertson, 3356, qld, 19970422, 28, 07 91517639, 5358148, 1
rec-593-org,   zachary, dibben, 12, hedley street, , auburn, 5023, wa, , 30, 08 70256627, 5961686, 3
rec-730-org,   robin, mercorella, 1, port arthur street, , surry hills, 6076, nsw, 19830804, 35, 02 95846288, 8939167, 9
rec-644-org,   amber, berryman, 42, eyre street, , seymour, 2040, qld, 19090705, 28, 07 30014565, 7995794, 4
rec-222-org,   indiana, caire, 21, proctor street, kimbad, niagara park, 6153, vic, 19420909, 24, 08 46716768, 5482607, 8
rec-530-org,   oliver, white, 16, eppalock street, , bundaberg, 5062, nsw, 19580821, , 04 91969638, 2210854, 0
rec-472-org,   ky, reid, 2, broadhurst street, , maitland, 2806, wa, 19010505, 27, 04 10738724, 9689508, 3
rec-700-org,   madison, rees, 11, mcgill street, glenlee, armidale, 3140, vic, 19800404, , 07 81693619, 2626044, 2
rec-109-org,   emma, berry, 5, juwin street, tara hills, devonport, 3550, qld, 19340415, 31, 07 58326054, 3816506, 5
rec-580-org,   cain, reid, 14, beaumont close, henry kendall bayside, white hills, 4221, nsw, 19151225, , , 8550682, 1
rec-679-dup-1, xavier, campbell, 18, levien srreet, , raceview, 2229, vic, 19311202, , 03 64425560, 9323616, 6
rec-206-org,   riley, , 8, brereton street, , pearce, 3082, , 19920123, 9, 02 45538553, 1368768, 1
rec-287-org,   bailey, braithwaite, 13, deeley place, , cabramatta, 3070, vic, 19420512, 26, 08 45244198, 7951383, 5
rec-309-org,   larissa, greenhalgh, 34, lander crescent, melita, dulwich hill, 2632, wa, 19351122, , 02 09027800, 7222194, 5
rec-251-org,   isabelle, weidenhofer, 48, buchanan street, mariner views, birkdale, 4214, nsw, , , 08 88126594, 1379167, 9
rec-558-org,   alexandra, vollbrecht, 39, fred lane crescent, wilden, toowoomba, 2147, qld, , , 02 05192416, 5133320, 4
rec-517-org,   tess, vearing, 24, fleetwood smith street, , charmhaven, 3030, , 19241125, 34, 07 74155839, 9908680, 2
rec-562-org,   bailey, stephenson, 13, gaylard place, , pennant hills, 6043, qld, 19500307, 25, 03 66318491, 3147764, 2
rec-94-dup-1, andrew, tillwr, 382, frome street, peroomba, port lifcoln, 3150, , 19680410, , 08 91498510, 7695408, 2
rec-770-org,   kristin, markowski, 22, gill street, , carnegie, 2170, vic, 19710808, 34, 04 88933456, 5837411, 6
rec-473-org,   kyle, piasecki-jaracz, 19, marcus clarke street, , balwyn north, 3221, vic, 19560220, 24, 03 04591258, 8634496, 1
rec-455-org,   oscar, rika, 2, terewah circuit, , mona vale, 3930, qld, 19240329, 22, 03 96197665, 2332524, 0
rec-404-org,   jakob, koopman, 13, mcmahon court, , noble park, 7249, wa, 19130416, , 02 06469824, 7558385, 2
rec-36-org,   isabella, , 5, disney court, lorimere, preston, 3124, nsw, 19091121, , 04 98540846, 8378055, 3
rec-741-org,   dominic, hein-taylor, 10, rushbrook circuit, , minto, 4375, nsw, 19060523, 28, 03 67964747, 5856770, 6
rec-403-org,   bianca, nguyen, 4, moon place, , kingston beach, 2072, nsw, , 27, 03 43892928, 3359712, 6
rec-275-org,   alexandra, wyllie, 38, ling place, villa 2, wattle glen, 3071, nsw, 19110918, 30, 03 24454629, 6937113, 5
rec-477-org,   jesse, kellow, 26, , , gosford east, 7310, vic, 19770425, 37, 04 11285119, 3727770, 1
rec-46-org,   vianca, clarke, 7, bavin street, yarrandale moonee, warnbro, 4650, vic, 19260915, 29, 02 05399390, 2126593, 0
rec-684-org,   zack, jankus, 16, howitt street, , concord west, 2113, wa, 19611004, 34, 07 40261578, 4399837, 6
rec-721-org,   jade, reimers, 16, elsey street, meadows meade, clarence point, 2296, vic, 19180920, 30, 02 34914572, 1325590, 0
rec-644-dup-0, amber, berrymvan, 42, eyre street, , seymour, 2040, qld, 19090705, 24, 07 30014565, 2217218, 4
rec-278-org,   jonathon, okely, 10, , , ulverstone, 2539, qld, 19170914, 36, 02 56934821, 2935567, 6
rec-618-org,   barkly, tebbutt, 29, adcock place, allandale, old toongabbie, 2261, sa, , 40, 02 61633356, 3811676, 9
rec-691-org,   chloe, mccarthy, 25, partridge street, huongold, beaumont, 7054, nsw, 19850318, 29, 03 85701147, 4775900, 4
rec-390-org,   coby, quilliam, 11, bimberi crescent, sunbury, alyangula, 6432, qld, 19930820, 24, 04 09477809, 2155679, 2
rec-66-dup-2, jordyn, meaneh, 33, barada crescent, , lalor park, 2298, vic, 19399826, 32, 07 42507031, 1107313, 1
rec-796-org,   william, wessel, 34, boddington crescent, , st albans, 3930, sa, 19100627, 30, 07 93031753, 8225876, 5
rec-636-org,   , webb, 8, heagney crescent, , ballarat, 3156, act, 19800219, 30, 07 33195360, 6475787, 8
rec-94-dup-2, andrew, tiller, 382, frome street, peroomba, port lincoln, 3159, , 19680410, , 07 32304707, 7695084, 2
rec-670-org,   joshua, gibb, 142, goodwin street, , dover gardens, 2570, , 19800924, 35, 02 10841527, 8969057, 0
rec-363-org,   jye, cartland, 6, knaggs crescent, , yangan, 2035, nsw, 19371114, , 03 54849829, 4282267, 1
rec-132-org,   adam, mccracken, 124, snowgum road, , ingleburn, 3180, nsw, 19930811, 32, 03 35378253, 7572294, 8
rec-304-org,   jessica, moody, 4, figg place, lyndale park, gorokan, 6005, nsw, 19470110, 23, 03 22141453, 9189670, 2
rec-605-org,   corey, reid, 6, goodhart crescent, apt 1, daylesford, 3131, nsw, , , 04 46972195, 5867029, 8
rec-384-org,   harrison, green, 60, oxley street, sorrento, mayfield, 2830, sa, 19780505, , 02 96581083, 3713681, 7
rec-13-org,   eden, leslie, 6, eyre street, , thornlands, 2230, vic, 19130115, , 02 46233665, 1380536, 2
rec-548-org,   emiily, pinto, 7, duffus place, englefield, smiths lake, 3130, nsw, , 25, 08 24740996, 6450206, 3
rec-184-dup-2, arabella, pantoa, 552, gardiner street, , tiddy widdy beach, 2261, vkc, 19031124, 22, 03 70607337, 6901505, 6
rec-48-org,   flynn, binns, 9, lambrigg street, , new farm, 4153, qld, 19760206, , 07 70834236, 3647886, 8
rec-526-org,   , hand, 32, mcclure street, , mulgrave east, 5162, vic, 19141021, 28, 08 51639543, 2132212, 4
rec-432-org,   isobel, demetriou, 138, santalum street, the meadows, narrogin, 4054, vic, 19020318, 29, 02 22819435, 1790891, 3
rec-268-org,   jessica, white, 31, darley place, , corowa, 3550, wa, 19360314, 33, 02 25416377, 3850376, 3
rec-336-org,   liam, ryan, 83, millar place, dar es salaam, loganholme, 5024, nsw, 19440623, 26, 03 61092841, 1816000, 1
rec-155-org,   quinn, matthews, 52, slater place, , mosman, 2486, , 19880403, 32, 02 12634449, 4159394, 3
rec-184-dup-1, arabella, pajtos, 554, gardiner street, , tiddy widdy beach, 2261, vic, 19031724, 22, 03 70607337, 6901055, 6
rec-543-org,   lily, white, 27, whittell crescent, , port macquarie, 3021, qld, 19920526, 32, 02 79784249, 2933535, 1
rec-677-org,   katelin, paterson, 8, menkens court, yarrandale, whitfield, 2230, wa, , 36, 03 87848232, 5892766, 8
rec-253-org,   mia, levykin, 15, winser crescent, , goolmangar, 3225, nsw, 19120921, 20, 03 54895084, 2053867, 7
rec-290-org,   tayah, pulford, 12, tyson street, bathampton, kenwick, 2077, nsw, 19280805, 9, 08 13998984, 1291510, 4
rec-121-org,   yasmin, priesley, 11, mulvey place, , bondi junction, 4507, nsw, 19370625, 27, 04 38098028, 2491706, 1
rec-514-org,   , campbell, 29, falkiner place, crisvale, macgregor, 2405, , 19770723, 26, , 9432798, 5
rec-152-org,   tenille, purtell, 13, gundulu place, , oakleigh, 2460, vic, 19420819, 30, 04 16204479, 6464233, 0
rec-340-org,   tristan, bradshaw, 98, mueller street, sherwood, sunshine north, 2073, qld, 19460104, 10, 08 32937353, 8298351, 4
rec-181-org,   ebony, jolly, 13, wyselaskie circuit, , stanwell park, 2021, qld, 19090313, , 02 73066327, 6638846, 2
rec-539-org,   james, haggett, 3, pockley close, villa 2, camden, 2324, vic, 19490703, , , 8411321, 3
rec-687-org,   rachel, groenveld, 10, rohan rivett crescent, , hoppers crossing, 3276, sa, 19460310, 19, 02 59111862, 4682724, 8
rec-349-org,   riley, janda, 68, weetangerra road, , minto, 2261, nsw, 19220815, 31, 02 67834652, 8909807, 5
rec-60-org,   jack, braslis, 1945, mcinnes street, , albion park, 4068, nsw, 19910801, 27, 03 05659850, 6340678, 6
rec-482-org,   lily, mcneill, 23, endeavour street, , yanco, 3116, sa, 19720412, 21, 04 32378636, 6774739, 9
rec-148-dup-0, emiioy, muhsam, 33, landsborouth street, , blacktown, 2770, tas, 19020825, 25, 03 66041531, 6425836, 0
rec-734-org,   mitchell, bruhn, 1601, cutbush street, , forest, 2146, qld, 19470614, 29, 07 05240800, 1366325, 9
rec-351-org,   nicholas, karasavas, 14, hirschfeld crescent, , grenfell, 4161, nsw, 19610711, , 02 20675336, 1266253, 9
rec-211-org,   nathan, furness, 4, gamban square, , frankston, 2026, vic, 19040820, 19, 04 76689005, 1864748, 7
rec-763-org,   matthew, rigley, 22, northmore crescent, , buronga, 2530, vic, 19920914, 30, 08 74162068, 3866656, 7
rec-489-org,   mitchell, northway, 374, bonrook street, , arundel, 2064, sa, 19700521, , 07 15332294, 2041480, 9
rec-552-org,   kira, matthews, 308, hodgkinson street, , hawthorn, 3177, qld, , 39, 02 30768713, 2137858, 0
rec-177-dup-1, jacb, badewitz, 8, abrahams crescent, , risdon vale, 3038, , 19491108, 24, 02 96683266, 4589541, 6
rec-187-org,   aidan, gergely, 24, cope place, cherry tree, boggabilla, 4110, nsw, , 30, 07 55006242, 4279601, 8
rec-653-org,   katie, boyle, , kavel street, , peterhead, 3052, qld, 19080609, 38, 07 60739749, 7272250, 3
rec-745-dup-0, erin, croper, 33, karney street, kondalilla, coledale, 3188, vic, 19560212, 26, 07 21846519, 4403227, 7
rec-759-org,   rachel, paterson, 38, dumas street, karingal nursing wing, stanmore, 3556, nsw, 19060422, 31, 07 26736867, 1032076, 0
rec-436-dup-0, jessigca, berry, , currie crmescent, , oatlands, 2030, qld, , 29, 08 74725111, 8082052, 6
rec-104-dup-1, matthew, gripton, 376, harper xtreet, , cherrybrook, 6150, , 19320727, 27, 03 81530044, 6474312, 3
rec-701-org,   , harrington, 7, hamilton row, fairway villas, caulfield north, 2118, tas, 19550802, 24, , 2382114, 3
rec-452-org,   ethan, siek, 11, river street, , murrumbateman, 3083, qld, 19161224, 30, 02 83003289, 8732176, 0
rec-698-dup-2, joshua, simonm, 19, karney treet, ethnam farm, hackham, 3144, vic, 19926016, 33, 04 35943784, 6250286, 7
rec-223-org,   cassidy, ratneser, 3, langdon avenue, , clarinda, 4017, nsw, 19360512, 32, 04 09258550, 7718931, 3
rec-583-org,   katelyn, clarke, 9, wheadon street, , osborne, 2320, nsw, 19700709, 29, 04 31538751, 6303370, 5
